id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
1192,4,25,8,2659
1193,4,25,9,2050
1194,4,25,10,4675
1195,4,25,12,631
1196,4,26,1,2882
1197,4,26,2,2247
1198,4,26,3,3373
1199,4,26,4,3921
1200,4,26,5,2904
1201,4,26,6,2120
1202,4,26,7,4429
1203,4,26,9,6732
1204,4,26,10,3958
1205,4,26,11,7591
1206,4,26,12,6052
1207,4,27,2,7421
1208,4,27,3,2033
1209,4,27,4,3854
1210,4,27,6,6863
1211,4,27,7,3950
1212,4,27,8,8115
1213,4,27,9,4456
1214,4,27,10,2863
1215,4,27,11,2165
1216,4,27,12,8627
1217,4,28,1,2645
1218,4,28,2,8639
1219,4,28,3,6153
1220,4,28,4,3015
1221,4,28,5,7051
1222,4,28,6,4435
1223,4,28,7,3182
1224,4,28,8,2120
1225,4,28,9,4153
1226,4,28,11,7111
1227,4,28,12,6081
1228,4,29,1,1883
