id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
682,Wednesday,6,May,10141
683,Wednesday,6,June,6716
684,Wednesday,6,July,4017
685,Wednesday,6,August,3268
686,Wednesday,6,September,5615
687,Wednesday,6,November,10319
688,Wednesday,6,December,4701
689,Wednesday,7,January,3568
690,Wednesday,7,February,5721
691,Wednesday,7,March,6095
692,Wednesday,7,May,3466
693,Wednesday,7,June,5547
694,Wednesday,7,August,10409
695,Wednesday,7,September,4677
696,Wednesday,7,October,10384
697,Wednesday,7,November,6118
698,Wednesday,7,December,5142
699,Wednesday,8,January,8980
700,Wednesday,8,February,3794
701,Wednesday,8,March,4257
702,Wednesday,8,April,6605
703,Wednesday,8,May,9463
704,Wednesday,8,June,3753
705,Wednesday,8,July,9100
706,Wednesday,8,August,5828
707,Wednesday,8,October,2849
708,Wednesday,8,November,4839
709,Wednesday,9,January,7282
710,Wednesday,9,March,3223
711,Wednesday,9,April,2533
712,Wednesday,9,May,5778
713,Wednesday,9,July,2598
714,Wednesday,9,August,4823
715,Wednesday,9,September,9419
716,Wednesday,9,October,8205
717,Wednesday,9,November,3430
718,Wednesday,9,December,12032
719,Wednesday,10,January,5486
720,Wednesday,10,February,4287
721,Wednesday,10,April,10676
722,Wednesday,10,May,5544
723,Wednesday,10,June,9230
724,Wednesday,10,July,10264
725,Wednesday,10,August,4185
726,Wednesday,10,September,3675
727,Wednesday,10,October,6255
728,Wednesday,10,December,3956
729,Wednesday,11,January,3952
730,Wednesday,11,February,3111
731,Wednesday,11,March,8606
732,Wednesday,11,April,5847
733,Wednesday,11,May,4013
734,Wednesday,11,June,3212
735,Wednesday,11,July,5727
736,Wednesday,11,September,8800
737,Wednesday,11,October,5286
738,Wednesday,11,November,9352
739,Wednesday,11,December,9412
740,Wednesday,12,February,8243
741,Wednesday,12,March,2793
742,Wednesday,12,April,4675
743,Wednesday,12,June,8718
744,Wednesday,12,July,4801
745,Wednesday,12,August,9375
746,Wednesday,12,September,5761
747,Wednesday,12,October,2259
748,Wednesday,12,November,2764
749,Wednesday,12,December,8233
750,Wednesday,13,January,9371
751,Wednesday,13,February,7227
752,Wednesday,13,March,7609
753,Wednesday,13,April,3160
754,Wednesday,13,May,7480
755,Wednesday,13,June,6049
756,Wednesday,13,July,3405
757,Wednesday,13,August,2721
758,Wednesday,13,September,4857
759,Wednesday,13,November,7885
760,Wednesday,13,December,4834
761,Wednesday,14,January,2392
762,Wednesday,14,February,4528
763,Wednesday,14,March,4679
764,Wednesday,14,May,2642
765,Wednesday,14,June,4546
766,Wednesday,14,August,7815
767,Wednesday,14,September,3224
768,Wednesday,14,October,9004
769,Wednesday,14,November,5279
770,Wednesday,14,December,3595
771,Wednesday,15,January,7786
772,Wednesday,15,February,3555
773,Wednesday,15,March,4099
774,Wednesday,15,April,6289
775,Wednesday,15,May,7493
776,Wednesday,15,June,3302
777,Wednesday,15,July,9292
778,Wednesday,15,August,3068
779,Wednesday,15,October,2297
780,Wednesday,15,November,4804
781,Wednesday,16,January,6669
782,Wednesday,16,March,2863
783,Wednesday,16,April,2580
784,Wednesday,16,May,5047
785,Wednesday,16,July,2423
786,Wednesday,16,August,5201
787,Wednesday,16,September,8970
788,Wednesday,16,October,7712
789,Wednesday,16,November,3137
790,Wednesday,16,December,10519
791,Wednesday,17,January,4443
792,Wednesday,17,February,2690
793,Wednesday,17,April,7539
794,Wednesday,17,May,4037
795,Wednesday,17,June,7259
796,Wednesday,17,July,7486
797,Wednesday,17,August,3181
798,Wednesday,17,September,2170
799,Wednesday,17,October,4930
800,Wednesday,17,December,2664
801,Wednesday,18,January,3048
802,Wednesday,18,February,1990
803,Wednesday,18,March,4097
804,Wednesday,18,April,4241
805,Wednesday,18,May,2849
806,Wednesday,18,June,2121
807,Wednesday,18,July,4832
808,Wednesday,18,September,7089
809,Wednesday,18,October,3880
810,Wednesday,18,November,7516
811,Wednesday,18,December,8662
812,Wednesday,19,February,6399
813,Wednesday,19,March,2031
814,Wednesday,19,April,3863
815,Wednesday,19,June,6816
816,Wednesday,19,July,3908
817,Wednesday,19,August,7935
818,Wednesday,19,September,4573
819,Wednesday,19,October,2867
820,Wednesday,19,November,2014
821,Wednesday,19,December,9187
822,Wednesday,20,January,8243
823,Wednesday,20,February,5780
824,Wednesday,20,March,6784
825,Wednesday,20,April,2633
826,Wednesday,20,May,7047
827,Wednesday,20,June,4107
828,Wednesday,20,July,2689
829,Wednesday,20,August,1931
830,Wednesday,20,September,4102
831,Wednesday,20,November,6660
832,Wednesday,20,December,5984
833,Wednesday,21,January,1824
834,Wednesday,21,February,3857
835,Wednesday,21,March,4055
836,Wednesday,21,May,1783
837,Wednesday,21,June,4166
838,Wednesday,21,August,6215
839,Wednesday,21,September,2656
840,Wednesday,21,October,7248
841,Wednesday,21,November,4202
842,Wednesday,21,December,4793
843,Wednesday,22,January,5089
844,Wednesday,22,February,2964
845,Wednesday,22,March,3239
846,Wednesday,22,April,5332
847,Wednesday,22,May,6459
848,Wednesday,22,June,2637
849,Wednesday,22,July,7679
850,Wednesday,22,August,3928
851,Wednesday,22,October,1793
852,Wednesday,22,November,3268
853,Wednesday,23,January,5053
854,Wednesday,23,March,2561
855,Wednesday,23,April,1814
856,Wednesday,23,May,4027
857,Wednesday,23,July,1997
858,Wednesday,23,August,3813
859,Wednesday,23,September,6751
860,Wednesday,23,October,6165
861,Wednesday,23,November,2503
862,Wednesday,23,December,15732
863,Wednesday,24,January,3664
864,Wednesday,24,February,2237
865,Wednesday,24,April,6338
866,Wednesday,24,May,3579
867,Wednesday,24,June,5198
868,Wednesday,24,July,6222
869,Wednesday,24,August,2495
870,Wednesday,24,September,1673
871,Wednesday,24,October,4355
872,Wednesday,24,December,2962
873,Wednesday,25,January,3037
874,Wednesday,25,February,1944
875,Wednesday,25,March,3559
876,Wednesday,25,April,3193
877,Wednesday,25,May,2871
878,Wednesday,25,June,2243
879,Wednesday,25,July,4236
880,Wednesday,25,September,5756
881,Wednesday,25,October,3817
882,Wednesday,25,November,7333
883,Wednesday,25,December,1759
884,Wednesday,26,February,6405
885,Wednesday,26,March,1926
886,Wednesday,26,April,3760
887,Wednesday,26,June,6997
888,Wednesday,26,July,3953
889,Wednesday,26,August,7540
890,Wednesday,26,September,4398
891,Wednesday,26,October,2688
892,Wednesday,26,November,2112
893,Wednesday,26,December,6379
894,Wednesday,27,January,2441
895,Wednesday,27,February,6396
896,Wednesday,27,March,6367
897,Wednesday,27,April,2705
898,Wednesday,27,May,6339
899,Wednesday,27,June,4238
900,Wednesday,27,July,2996
901,Wednesday,27,August,2019
902,Wednesday,27,September,3639
903,Wednesday,27,November,6201
904,Wednesday,27,December,5149
905,Wednesday,28,January,1589
906,Wednesday,28,February,6354
907,Wednesday,28,March,5562
908,Wednesday,28,May,2054
909,Wednesday,28,June,4352
910,Wednesday,28,August,6400
911,Wednesday,28,September,2967
912,Wednesday,28,October,7650
913,Wednesday,28,November,4359
914,Wednesday,28,December,3616
915,Wednesday,29,January,6490
916,Wednesday,29,March,3534
917,Wednesday,29,April,6889
918,Wednesday,29,May,6950
919,Wednesday,29,June,3450
920,Wednesday,29,July,8832
921,Wednesday,29,August,4665
922,Wednesday,29,October,2328
923,Wednesday,29,November,4474
924,Wednesday,30,January,7005
925,Wednesday,30,March,3717
926,Wednesday,30,April,3908
927,Wednesday,30,May,4977
928,Wednesday,30,July,2719
929,Wednesday,30,August,5130
930,Wednesday,30,September,11192
931,Wednesday,30,October,8122
932,Wednesday,30,November,4387
933,Wednesday,30,December,14724
934,Wednesday,31,January,6308
935,Wednesday,31,May,6340
936,Wednesday,31,July,10507
937,Wednesday,31,August,4369
938,Wednesday,31,October,6758
939,Wednesday,31,December,3248
940,Thursday,1,January,694
941,Thursday,1,February,6689
942,Thursday,1,March,7209
943,Thursday,1,May,1897
944,Thursday,1,June,7543
945,Thursday,1,August,12397
946,Thursday,1,September,5388
947,Thursday,1,October,14654
948,Thursday,1,November,4852
949,Thursday,1,December,5337
950,Thursday,2,January,10891
951,Thursday,2,February,5456
952,Thursday,2,March,6092
953,Thursday,2,April,6385
954,Thursday,2,May,13547
955,Thursday,2,June,5317
956,Thursday,2,July,12389
957,Thursday,2,August,7181
958,Thursday,2,October,4639
